#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.07e+01    1.02e+01      4.66e-01    4.67e-01      3.37e-01    3.23e-01    1.0e-03
    100      2.10e+00    2.44e+00      2.73e-02    2.44e-02      6.64e-02    7.71e-02    1.0e-03
    200      1.51e+00    1.47e+00      4.30e-02    4.29e-02      4.78e-02    4.65e-02    1.0e-03
    300      1.58e+00    1.30e+00      6.30e-02    6.16e-02      4.99e-02    4.12e-02    1.0e-03
    400      1.13e+00    1.25e+00      7.46e-02    7.54e-02      3.57e-02    3.94e-02    1.0e-03
    500      1.09e+00    1.25e+00      1.77e-03    1.25e-03      3.46e-02    3.96e-02    1.0e-03
    600      1.04e+00    7.99e-01      2.96e-03    3.91e-03      3.30e-02    2.53e-02    1.0e-03
    700      1.01e+00    1.11e+00      1.36e-02    1.22e-02      3.19e-02    3.52e-02    1.0e-03
    800      1.08e+00    9.21e-01      2.16e-02    2.27e-02      3.41e-02    2.91e-02    1.0e-03
    900      9.34e-01    9.32e-01      2.42e-02    2.39e-02      2.95e-02    2.94e-02    1.0e-03
   1000      1.24e+00    1.03e+00      1.68e-02    1.72e-02      3.92e-02    3.26e-02    1.0e-03
   1100      9.42e-01    7.85e-01      1.45e-02    1.40e-02      2.98e-02    2.48e-02    1.0e-03
   1200      1.11e+00    1.18e+00      3.43e-02    3.30e-02      3.49e-02    3.73e-02    1.0e-03
   1300      9.49e-01    9.58e-01      1.04e-02    1.12e-02      3.00e-02    3.03e-02    1.0e-03
   1400      7.51e-01    7.69e-01      1.35e-02    1.34e-02      2.38e-02    2.43e-02    1.0e-03
   1500      8.68e-01    8.29e-01      4.53e-02    4.59e-02      2.74e-02    2.62e-02    1.0e-03
   1600      8.38e-01    8.38e-01      4.26e-02    4.26e-02      2.65e-02    2.64e-02    1.0e-03
   1700      1.23e+00    9.85e-01      2.32e-02    2.34e-02      3.88e-02    3.11e-02    1.0e-03
